B AND B CORPORATION,2025-04-02,92,7782 SAN FERNANDO RD ,SUN VALLEY,PR0138220
UPTOWN LIQUOR,2025-09-02,98,7301 GREENLEAF AVE ,WHITTIER,PR0007722
WORLD OIL,2026-03-13,92,478 W ARROW HWY ,COVINA,PR0043638
DOWNEY TWIN OAKS,2022-02-01,,8111 ORANGE ST ,DOWNEY,PR0047443
LOYOLA HIGH SCHOOL SWIMMING POOL,2025-08-25,,1901 VENICE BLVD ,LOS ANGELES,PR0126375
CREA WINDSTAR PACIFIC LLC,2022-06-15,,11775 S LA CIENEGA BLVD,LOS ANGELES,PR0121406
RANCHO LA PUENTE             SPA POOL,2023-06-26,,15814 E FALLEN LEAF RD ,LA PUENTE,PR0058376
ZUMIREZ VIEW HOA SWIMMING POOL,2021-10-19,,28711 PACIFIC COAST HWY ,MALIBU,PR0056498
RICHARDS BOARD AND CARE,2024-04-30,,10522 S VAN NESS AVE ,LOS ANGELES,PR0137719
LOWE'S #1852,2024-12-23,96,13500 PAXTON ST,PACOIMA,PR0130707
AFC SUSHI @ RALPH'S # 55,2026-02-12,99,521 W FOOTHILL BLVD,LA CANADA FLINTRIDGE,PR0160430
THE LOOP,2026-01-20,96,1100 W COVINA BLVD ,SAN DIMAS,PR0137234
WILSHIRE BORGATA SPA POOL,2023-05-31,,12222 WILSHIRE BLVD ,LOS ANGELES,PR0054471
LA VERNE CAR WASH,2026-03-03,91,914 W FOOTHILL BLVD ,LA VERNE,PR0034937
NEWCASTLE GARDENS,2021-09-02,,5461 NEWCASTLE AVE ,ENCINO,PR0004355
BARRY REGENCY HOA,2023-04-17,,1247 BARRY AVE,LOS ANGELES,PR0006486
PHO HANOI AVENUE,2026-02-24,94,1010 WEST COVINA PKWY,WEST COVINA,PR0164144
FOOD MARKET RETAIL,2026-03-03,90,6108 HAZELTINE AVE,VAN NUYS,PR0164235
RANCHO LA PUENTE             SPA POOL,2023-06-26,,15814 E FALLEN LEAF RD ,LA PUENTE,PR0058377
HUNTINGTON TOWNHOME IV SWIMMING POOL,2025-06-09,,6315 SEVILLE AVE ,HUNTINGTON PARK,PR0055778
922 14TH ST HOA,2021-06-09,,922 14TH ST ,SANTA MONICA,PR0019278
HUNTINGTON TOWNHOME IV,2021-06-18,,6315 SEVILLE AVE ,HUNTINGTON PARK,PR0039385
CHATEAU ROYALE LA FAYETTE,2023-05-05,,256 S LA FAYETTE PARK PL ,LOS ANGELES,PR0040063
4027 MCLAUGHLIN LLC,2024-03-07,,4027 MCLAUGHLIN AVE,LOS ANGELES,PR0161020
GLADSTONE GARDEN TERRACE,2021-06-04,,301 W GLADSTONE ST,AZUSA,PR0164121
STEVENS GARDENS HOMEOWNERS ASSOCIATION,2023-05-22,,1309 STEVENS AVE UNIT A-K,SAN GABRIEL,PR0164223
GREENWOOD HOMEOWNERS ASSOC,2021-09-15,,859 S GREENWOOD AVE ,MONTEBELLO,PR0005012
EARTH BAR MARINA DEL REY,2024-08-19,99,13455 MAXELLA AVE ,MARINA DEL REY,PR0016391
FIREFLY,2026-03-12,91,11720 VENTURA BLVD ,STUDIO CITY,PR0004837
ATHENIAN CONDOMINIUMS,2021-07-02,,1214 S ALMA ST ,SAN PEDRO,PR0042703
ARCADIA FAIRVIEW,2022-11-01,,1014 W FAIRVIEW AVE ,ARCADIA,PR0027660
CASA SERENA HOA,2022-04-04,,14201 DICKENS ST,SHERMAN OAKS,PR0024279
CHATEAU WEST,2022-12-28,,1738 FEDERAL AVE ,LOS ANGELES,PR0029671
DEL MAR MANOR HOMEOWNERS ASS,2022-09-15,,1410 S DEL MAR AVE ,SAN GABRIEL,PR0009608
COSTCO #428-MEAT,2026-02-27,97,2207 W COMMONWEALTH AVE ,ALHAMBRA,PR0003236
CHONITO'S MEXICAN RESTAURANT,2024-10-23,90,2505 W VALLEY BLVD,ALHAMBRA,PR0281198
LAHSA SRO BRIDGE UNITS,2025-04-09,,300 W 45TH ST,LOS ANGELES,PR0284266
LAS LOMAS RESTAURANT,2024-09-26,97,15677 ROXFORD ST,SYLMAR,PR0280155
HAWTHORNE MANOR CONDOS,2024-07-09,,4014 W 136TH ST ,HAWTHORNE,PR0023930
BURGER KING,2025-10-02,94,5850 S CRENSHAW BLVD ,LOS ANGELES,PR0007183
HENNESSEY'S TAVERN,2024-07-31,94,313 MANHATTAN BEACH BLVD ,MANHATTAN BEACH,PR0038403
WAL-MART #5072,2024-08-31,96,19503 NORMANDIE AVE,TORRANCE,PR0045927
5161 RIVERTON AVE APTS,2023-10-04,,5161 RIVERTON AVE,NORTH HOLLYWOOD,PR0211324
TACOS GAMBOA,2023-08-18,95,7549 ALONDRA BLVD,PARAMOUNT,PR0211840
RIDGE CREST HOA,2021-06-09,,2432 7TH ST ,SANTA MONICA,PR0037055
1506-08 PROSPECT AVE HOA,2022-07-27,,1506 S PROSPECT AVE ,SAN GABRIEL,PR0028647
2920 11TH ST HOA,2023-01-19,,2920 11TH ST ,SANTA MONICA,PR0035802
1345 WELLESLEY AVE HOA,2022-01-10,,1345 WELLESLEY AVE ,LOS ANGELES,PR0038061
