name,address,closed,reason,phone,website,google_maps
San Vicente Bungalows,"845 N San Vicente Blvd, West Hollywood, CA",Apr 14,Vermin Infestation,(424) 313-8088,sanvicenteclubs.com,https://www.google.com/maps/search/San+Vicente+Bungalows+845+N+San+Vicente+Blvd+West+Hollywood+CA
American Junkie,"68 Pier Ave, Hermosa Beach, CA",Apr 13,Vermin Infestation,(310) 376-4412,americanjunkiehb.com,https://www.google.com/maps/search/American+Junkie+68+Pier+Ave+Hermosa+Beach+CA
Dumpling House,"3525 W 3rd St #6, Los Angeles, CA",Apr 9,Vermin Infestation,(213) 389-3899,dumplinghouseca.com,https://www.google.com/maps/search/Dumpling+House+3525+W+3rd+St+%236+Los+Angeles+CA
Kwon's Restaurant,"1625 Holt Ave, Pomona, CA",Apr 9,Vermin Infestation,(909) 629-6888,,https://www.google.com/maps/search/Kwon%27s+Restaurant+1625+Holt+Ave+Pomona+CA
Qin West Chinese Cuisine,"727 N Broadway Ste 111, Los Angeles, CA",Apr 9,Vermin Infestation,(213) 687-1063,qinwestnoodle.com,https://www.google.com/maps/search/Qin+West+Chinese+Cuisine+727+N+Broadway+Ste+111+Los+Angeles+CA
Caramelo Cafe,"1447 Valinda Ave A, La Puente, CA",Apr 9,Vermin Infestation,(626) 498-0764,caramelo.cafe,https://www.google.com/maps/search/Caramelo+Cafe+1447+Valinda+Ave+A+La+Puente+CA
Abhiruchi Grill,"10823 Venice Blvd, Los Angeles, CA",Apr 8,Vermin Infestation,(310) 204-2569,abhiruchigrill.com,https://www.google.com/maps/search/Abhiruchi+Grill+10823+Venice+Blvd+Los+Angeles+CA
Rikas Peruvian Cuisine,"3553 W 3rd St, Los Angeles, CA",Apr 8,Vermin Infestation,(213) 263-2134,,https://www.google.com/maps/search/Rikas+Peruvian+Cuisine+3553+W+3rd+St+Los+Angeles+CA
La Michoacana Favorita,"7017 Atlantic Ave, Bell, CA",Apr 8,Vermin Infestation,(213) 297-7263,,https://www.google.com/maps/search/La+Michoacana+Favorita+7017+Atlantic+Ave+Bell+CA
Hai Phong Noodles,"10990 Lower Azusa Rd Ste 2, El Monte, CA",Apr 7,Vermin Infestation,(626) 448-8890,,https://www.google.com/maps/search/Hai+Phong+Noodles+10990+Lower+Azusa+Rd+Ste+2+El+Monte+CA
La Maison de Creme,"265 S Robertson Blvd #2, Beverly Hills, CA",Apr 3,No Public Health Permit,(310) 855-7290,lamaisondecreme.com,https://www.google.com/maps/search/La+Maison+de+Creme+265+S+Robertson+Blvd+%232+Beverly+Hills+CA
Baoshutang Restaurant,"987 S Glendora Ave 5, West Covina, CA",Mar 23,Vermin Infestation,(909) 939-2224,,https://www.google.com/maps/search/Baoshutang+Restaurant+987+S+Glendora+Ave+5+West+Covina+CA
Coldstone Creamery West LA,"10875 Pico Blvd, Los Angeles, CA",Mar 23,Vermin Infestation,(310) 475-1288,,https://www.google.com/maps/search/Coldstone+Creamery+West+LA+10875+Pico+Blvd+Los+Angeles+CA
La Ramada Restaurant,"6330 Santa Fe Ave, Huntington Park, CA",Mar 20,Vermin Infestation,(323) 587-7378,,https://www.google.com/maps/search/La+Ramada+Restaurant+6330+Santa+Fe+Ave+Huntington+Park+CA
Paradise Biryani Pointe,"18158 Pioneer Blvd, Artesia, CA",Mar 19,Vermin Infestation,(562) 666-2334,laparadisebiryani.com,https://www.google.com/maps/search/Paradise+Biryani+Pointe+18158+Pioneer+Blvd+Artesia+CA
Rick's Burger,"132 W Main St, Alhambra, CA",Mar 17,Vermin Infestation,(626) 576-8519,,https://www.google.com/maps/search/Rick%27s+Burger+132+W+Main+St+Alhambra+CA
NADC Burger,"1091 Broxton, Los Angeles, CA",Mar 11,No Plans Submitted,(855) 328-6232,nadcburger.com,https://www.google.com/maps/search/NADC+Burger+1091+Broxton+Los+Angeles+CA
