facility_name,address,city,closed_date,reason,google_maps_link
SMART & FINAL #522,855 N WILCOX AVE,MONTEBELLO,2026-04-09,Vermin Infestation California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/SMART%20%26%20FINAL%20%23522%20855%20N%20WILCOX%20AVE%20MONTEBELLO%20CA
EL ATACOR TAQUERIA #7,14412 RAMONA BLVD,BALDWIN PARK,2026-04-09,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/EL%20ATACOR%20TAQUERIA%20%237%2014412%20RAMONA%20BLVD%20BALDWIN%20PARK%20CA
KANG NAM RESTAURANT,4103 W OLYMPIC BLVD,LOS ANGELES,2026-04-09,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/KANG%20NAM%20RESTAURANT%204103%20W%20OLYMPIC%20BLVD%20LOS%20ANGELES%20CA
DUMPLING HOUSE,3525 W 3RD ST #6,LOS ANGELES,2026-04-09,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/DUMPLING%20HOUSE%203525%20W%203RD%20ST%20%236%20LOS%20ANGELES%20CA
CARAMELO CAFE,1447 VALINDA AVE A,LA PUENTE,2026-04-09,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/CARAMELO%20CAFE%201447%20VALINDA%20AVE%20A%20LA%20PUENTE%20CA
KWON'S RESTAURANT,1625 HOLT AVE,POMONA,2026-04-09,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/KWON%27S%20RESTAURANT%201625%20HOLT%20AVE%20POMONA%20CA
LA MICHOACANA FAVORITA,7017 ATLANTIC AVE,BELL,2026-04-08,Vermin Infestation - California Health and Safety Code Section 114259.1 Inspection Score Less Than 70 - LACC 8.04.225 Sewage Discharge - California Health and Safety Code Section 114190,https://www.google.com/maps/search/LA%20MICHOACANA%20FAVORITA%207017%20ATLANTIC%20AVE%20BELL%20CA
ABHIRUCHI GRILL,10823 VENICE BLVD,LOS ANGELES,2026-04-08,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/ABHIRUCHI%20GRILL%2010823%20VENICE%20BLVD%20LOS%20ANGELES%20CA
LOCAL KITCHEN & WINE BAR,1736 OCEAN PARK BLVD,SANTA MONICA,2026-04-08,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/LOCAL%20KITCHEN%20%26%20WINE%20BAR%201736%20OCEAN%20PARK%20BLVD%20SANTA%20MONICA%20CA
RIKAS,3553 W 3RD ST,LOS ANGELES,2026-04-08,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/RIKAS%203553%20W%203RD%20ST%20LOS%20ANGELES%20CA
GARDENA SUPERMARKET,1012 W GARDENA BLVD,GARDENA,2026-04-07,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/GARDENA%20SUPERMARKET%201012%20W%20GARDENA%20BLVD%20GARDENA%20CA
SALO SALO GRILL,2530 E AMAR RD,WEST COVINA,2026-04-07,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/SALO%20SALO%20GRILL%202530%20E%20AMAR%20RD%20WEST%20COVINA%20CA
GARDENA SUPERMARKET,1012 W GARDENA BLVD,GARDENA,2026-04-07,VERMIN INFESTATION- CALIFORNIA HEALTH AND SAFETY CODE SECTION 114259.1,https://www.google.com/maps/search/GARDENA%20SUPERMARKET%201012%20W%20GARDENA%20BLVD%20GARDENA%20CA
CAPITAL SEAFOOD BEV HILLS,50 N LA CIENEGA BLVD STE 130,BEVERLY HILLS,2026-04-07,Vermin Infestation - California Health and Safety Code Section 114259.1 Unsafe Food Temperatures - California Health and Safety Code Section 113996,https://www.google.com/maps/search/CAPITAL%20SEAFOOD%20BEV%20HILLS%2050%20N%20LA%20CIENEGA%20BLVD%20STE%20130%20BEVERLY%20HILLS%20CA
LA COMIDA MARKET Y PANDERIA,2314 E EL SEGUNDO BLVD,COMPTON,2026-04-07,Inspection Score Less Than 70 LACC 8.04.225 Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/LA%20COMIDA%20MARKET%20Y%20PANDERIA%202314%20E%20EL%20SEGUNDO%20BLVD%20COMPTON%20CA
HAI PHONG NOODLES,10990 LOWER AZUSA RD STE 2,EL MONTE,2026-04-07,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/HAI%20PHONG%20NOODLES%2010990%20LOWER%20AZUSA%20RD%20STE%202%20EL%20MONTE%20CA
FIESTA MICHOACANA,4433 S ALAMEDA ST UNIT 1& 2,LOS ANGELES,2026-04-06,Vermin Infestation - California Health and Safety Code Section 114259.1,https://www.google.com/maps/search/FIESTA%20MICHOACANA%204433%20S%20ALAMEDA%20ST%20UNIT%201%26%202%20LOS%20ANGELES%20CA
LA MAISON DE CREME,265 S ROBERTSON BLVD # 2,BEVERLY HILLS,2026-04-03,No Public Health Permit - California Health and Safety Code Section 114381,https://www.google.com/maps/search/LA%20MAISON%20DE%20CREME%20265%20S%20ROBERTSON%20BLVD%20%23%202%20BEVERLY%20HILLS%20CA
SHAMROCK BAR & LOUNGE,7400 STATE ST,HUNTINGTON PARK,2026-04-02,Vermin Infestation - California Health and Safety Code Section 114259.1 No Method to Clean and Sanitize Available California Health and Safety Code Section 114095,https://www.google.com/maps/search/SHAMROCK%20BAR%20%26%20LOUNGE%207400%20STATE%20ST%20HUNTINGTON%20PARK%20CA
HOT BOX SMOKE SHOP,9115 S WESTERN AVE,LOS ANGELES,2026-04-01,Gross Contamination,https://www.google.com/maps/search/HOT%20BOX%20SMOKE%20SHOP%209115%20S%20WESTERN%20AVE%20LOS%20ANGELES%20CA
