"Name","Address","City","Description","Closed","Reopened","Reason"
"KING-DREW SENIOR HIGH MEDICINE AND SCIENCE MAGNET","1601 E 120TH ST ","LOS ANGELES","PUBLIC SCHOOL CAFETERIA",,04/01/2026,"No closure reason provided"
"HANDEL'S HOMEMADE ICE CREAM","8850 CORBIN AVE","NORTHRIDGE","RESTAURANT (0-30) SEATS MODERATE RISK",,04/02/2026,"No closure reason provided"
"FLYING CHOPSTIX","174 E CARSON ST","CARSON","RESTAURANT (31-60) SEATS HIGH RISK",04/03/2026,,"Vermin Infestation - California Health & Safety Code 114259.1"
"CHAPALA BAKERY #3","1410 HUNTINGTON DR","DUARTE","RESTAURANT (0-30) SEATS HIGH RISK",04/02/2026,04/02/2026,"No Public Health Permit - California Health and Safety Code Section 114381"
"OLGUITAS COCINA","4640 ROSEMEAD BLVD","PICO RIVERA","RESTAURANT (61-150) SEATS HIGH RISK",04/02/2026,,"No closure reason provided"
"PALOS VERDES HIGH SCHOOL","600 CLOYDEN RD ","PALOS VERDES ESTATES","PUBLIC SWIMMING POOL MODERATE RISK 1",04/02/2026,," Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546"
"DOMINO'S PIZZA #7886","1510 S GAFFEY ST","SAN PEDRO","RESTAURANT (0-30) SEATS MODERATE RISK",04/01/2026,04/03/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PARK VILLA MOBILE HOME ESTATES","21711 VERA ST ","CARSON","PUBLIC SWIMMING POOL LOW RISK 1",03/31/2026,,"Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545 Recirculation System Not Operating  California Code of Regulations 65525, 65545 Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B "
"POLLY'S PIES                ","1322 W BEVERLY BLVD ","MONTEBELLO","RESTAURANT (151 + ) SEATS HIGH RISK",03/26/2026,,"Vermin infestation California Health & Safety Code section 114259.1"
"CHO MAK","357 S WESTERN BLVD STE 101","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",03/26/2026,03/31/2026,"Vermin Infestation-California Health & Safety Code  114259"
"GOLDEN CORRAL","17308 BELLFLOWER BLVD","BELLFLOWER","RESTAURANT (151 + ) SEATS HIGH RISK",03/26/2026,03/31/2026,"Vermin infestation California Health and Safety code section 114259.1"
"DAVE & BUSTER'S #0078","6801 HOLLYWOOD BLVD #363","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK",03/26/2026,03/28/2026,"Vermin infestation- California Health & Safety Code section 114259.1"
"CVS/PHARMACY #2289","19701 W VANOWEN ST ","WINNETKA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/26/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"QIN WEST CHINESE CUISINE","727 N BROADWAY STE 111","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/26/2026,03/28/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"168 MARKET #801","1421 E VALLEY BLVD","ALHAMBRA","FOOD MKT RETAIL (2,000+ SF) LOW RISK",03/25/2026,03/27/2026,"Sewage Discharge - California Health and Safety Code Section 114190"
"JAOPAYA THAI RESTAURANT","7321 RESEDA BLVD","RESEDA","RESTAURANT (31-60) SEATS HIGH RISK",03/24/2026,03/27/2026,"Vermin Infestation California Health and Safety Code Section 114259.1.  "
"JUST POP'N","1030 E 25TH ST","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/24/2026,03/26/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"SAMOSA HOUSE SANTA MONICA","2301 MAIN ST","SANTA MONICA","RESTAURANT (0-30) SEATS HIGH RISK",03/24/2026,,"Sewage Discharge - California Health and Safety Code Section 114190"
"CHARLIE'S BEST BURGERS ELA","5138 E OLYMPIC BLVD","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",03/23/2026,03/25/2026,"Sewage Discharge - California Health and Safety Code Section 114190 Inspection Score Less Than 70 -  LACC 8.04.225"
"COLDSTONE CREAMERY WEST LA","10875 PICO BLVD","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",03/23/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"BAOSHUTANG RESTAURANT","987 S GLENDORA AVE 5","WEST COVINA","RESTAURANT (0-30) SEATS HIGH RISK",03/23/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"QIN WEST CHINESE CUISINE","727 N BROADWAY STE 111","LOS ANGELES","REMOTE STORAGE FACILITY",03/23/2026,03/26/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"KOREAN BBQ HOUSE","123 S ONIZUKA ST # 302","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/20/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"LA RAMADA RESTAURANT        ","6330 SANTA FE AVE ","HUNTINGTON PARK","RESTAURANT (31-60) SEATS HIGH RISK",03/20/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PANERA BREAD #1703","8700 WASHINGTON BLVD","PICO RIVERA","RESTAURANT (151 + ) SEATS HIGH RISK",03/20/2026,03/25/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"MELODY BEER & WINE","9136 S BUDLONG AVE","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/19/2026,03/23/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PARADISE BIRYANI POINTE","18158 PIONEER BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK",03/19/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TACOS Y BURRITOS METRO B #1","1118 N HACIENDA BLVD ","LA PUENTE","RESTAURANT (31-60) SEATS HIGH RISK",03/19/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CORNER STOP LIQUOR MART","3109 CENTURY BLVD B","SOUTH GATE","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/19/2026,03/21/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1."
"PISTA HOUSE","18521 PIONEER BLVD","CERRITOS","RESTAURANT (0-30) SEATS MODERATE RISK",03/18/2026,03/20/2026,"Vermin infestation California Health and Safety code section 114259.1"
"PALM TERRACE APARTMENTS","15116 PARTHENIA ST ","NORTH HILLS","PUBLIC SWIMMING POOL LOW RISK 1",03/18/2026,,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545"
"THE BOWL LA VERNE","2087 FOOTHILL BLVD","LA VERNE","RESTAURANT (0-30) SEATS LOW RISK",03/18/2026,03/24/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PALM TERRACE APARTMENTS","15116 PARTHENIA ST ","NORTH HILLS","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",03/18/2026,,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545"
"17ROOTEA","331 E 1ST ST","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",03/18/2026,03/20/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 "
"RICK'S BURGER","132 W MAIN ST","ALHAMBRA","RESTAURANT (61-150) SEATS HIGH RISK",03/17/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"#1 BUFFET","14418 HAWTHORNE BLVD ","LAWNDALE","RESTAURANT (151 + ) SEATS HIGH RISK",03/17/2026,03/19/2026,"Sewage Discharge - California Health and Safety Code Section 114190Vermin Infestation - California Health and Safety Code Section 114259.1"
"A&S LIQUOR MARKET","3088 W PICO BLVD ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/17/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TACOS EL CHAPARRITO         ","9611 GARVEY AVE STE 105","SOUTH EL MONTE","RESTAURANT (0-30) SEATS HIGH RISK",03/17/2026,03/19/2026,"California Health & Safety Code Section 114259.1 - Vermin Infestation"
"BOILING POINT #2            ","153 W GARVEY AVE ","MONTEREY PARK","RESTAURANT (0-30) SEATS HIGH RISK",03/17/2026,03/21/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"LE LYCEE FRANCAIS SCHOOL","3261 OVERLAND AVE ","LOS ANGELES","PUBLIC SWIMMING POOL MODERATE RISK 1",03/17/2026,03/23/2026,"Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B"
"7-ELEVEN #39698A","15317 VANOWEN ST","VAN NUYS","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/16/2026,03/18/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1   "
"LONDON GASTROPUB            ","419 S MYRTLE AVE ","MONROVIA","RESTAURANT (31-60) SEATS HIGH RISK",03/13/2026,03/17/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SANDWICH EXPRESS            ","18575 SHERMAN WAY ","RESEDA","RESTAURANT (0-30) SEATS HIGH RISK",03/13/2026,03/20/2026,"Vermin Infestation California Health and Safety Code Section 114259.1."
"BOBOS","12949 ROSECRANS AVE","NORWALK","RESTAURANT (31-60) SEATS HIGH RISK",03/13/2026,03/20/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PARK TARZANA                  ","18620 HATTERAS ST ","TARZANA","PUBLIC SWIMMING POOL LOW RISK 1",03/13/2026,,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545"
"MARGARITA JONES MEXICAN RESTAURANT","6341 PACIFIC BLVD ","HUNTINGTON PARK","RESTAURANT (151 + ) SEATS HIGH RISK",03/13/2026,03/20/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1   No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095  "
