Facility Name,Address,City,Inspection Date,Score,Grade,Google Maps Link
ABS STEAK,8500 BEVERLY BLVD UNIT 111,LOS ANGELES,2026-03-25,84,B,https://www.google.com/maps/search/ABS+STEAK+8500+BEVERLY+BLVD+UNIT+111+LOS+ANGELES+CA
SPOON ME LATIN DELIGHTS,14431 PIONEER BLVD,NORWALK,2026-03-24,84,B,https://www.google.com/maps/search/SPOON+ME+LATIN+DELIGHTS+14431+PIONEER+BLVD+NORWALK+CA
LEE'S SANDWICHES,1145 W CARSON ST,TORRANCE,2026-03-25,80,B,https://www.google.com/maps/search/LEE%27S+SANDWICHES+1145+W+CARSON+ST+TORRANCE+CA
168 MARKET #801,1421 E VALLEY BLVD,ALHAMBRA,2026-03-25,77,C,https://www.google.com/maps/search/168+MARKET+%23801+1421+E+VALLEY+BLVD+ALHAMBRA+CA
FARMER BOYS,726 S ALAMEDA ST,LOS ANGELES,2026-03-24,84,B,https://www.google.com/maps/search/FARMER+BOYS+726+S+ALAMEDA+ST+LOS+ANGELES+CA
LOS JUGOS,1115 WASHINGTON BLVD STE F,MONTEBELLO,2026-03-24,73,C,https://www.google.com/maps/search/LOS+JUGOS+1115+WASHINGTON+BLVD+STE+F+MONTEBELLO+CA
RAFAEL'S MAXICAN RESTAURANT,2226 W BEVERLY BLVD,MONTEBELLO,2026-03-25,71,C,https://www.google.com/maps/search/RAFAEL%27S+MAXICAN+RESTAURANT+2226+W+BEVERLY+BLVD+MONTEBELLO+CA
DAN TANA'S,9071 SANTA MONICA BLVD,WEST HOLLYWOOD,2026-03-25,81,B,https://www.google.com/maps/search/DAN+TANA%27S+9071+SANTA+MONICA+BLVD+WEST+HOLLYWOOD+CA
LONG'S FAMILY PASTRIES INC,715 N SPRING ST,LOS ANGELES,2026-03-24,84,B,https://www.google.com/maps/search/LONG%27S+FAMILY+PASTRIES+INC+715+N+SPRING+ST+LOS+ANGELES+CA
BIANCHI THEATRES,7770 E ROSECRANS AVE,PARAMOUNT,2026-03-24,83,B,https://www.google.com/maps/search/BIANCHI+THEATRES+7770+E+ROSECRANS+AVE+PARAMOUNT+CA
MARY'S BAKERY,4523 SLAUSON AVE,MAYWOOD,2026-03-26,80,B,https://www.google.com/maps/search/MARY%27S+BAKERY+4523+SLAUSON+AVE+MAYWOOD+CA
TACOS LA PERLA,12823 S NORMANDIE AVE,GARDENA,2026-03-25,80,B,https://www.google.com/maps/search/TACOS+LA+PERLA+12823+S+NORMANDIE+AVE+GARDENA+CA
QIN WEST CHINESE CUISINE,727 N BROADWAY STE 111,LOS ANGELES,2026-03-26,75,C,https://www.google.com/maps/search/QIN+WEST+CHINESE+CUISINE+727+N+BROADWAY+STE+111+LOS+ANGELES+CA
LITTLE SKEWER,429 W GARVEY AVE,MONTEREY PARK,2026-03-26,83,B,https://www.google.com/maps/search/LITTLE+SKEWER+429+W+GARVEY+AVE+MONTEREY+PARK+CA
